layer,head,sq_diff
0,0,4.976196214556694e-05
0,1,3.0446099117398262e-05
0,2,5.784910172224045e-05
0,3,8.944002911448479e-05
0,4,3.842200385406613e-06
0,5,4.147557774558663e-06
0,6,8.173426613211632e-05
0,7,1.0495539754629135e-05
0,8,0.000252576544880867
0,9,4.7205016016960144e-05
0,10,6.4150081016123295e-06
0,11,3.6954443203285336e-06
1,0,5.4001808166503906e-05
1,1,0.0012726224958896637
1,2,0.003449767827987671
1,3,0.007831394672393799
1,4,0.0004238896071910858
1,5,0.03636449575424194
1,6,0.012965142726898193
1,7,0.004004724323749542
1,8,0.0034686774015426636
1,9,0.01476229727268219
1,10,0.004264175891876221
1,11,0.013972818851470947
2,0,-0.019689083099365234
2,1,0.004741191864013672
2,2,-0.007735490798950195
2,3,0.009545713663101196
2,4,-0.0008809566497802734
2,5,0.014870166778564453
2,6,-0.004639819264411926
2,7,-0.008792638778686523
2,8,0.0005547106266021729
2,9,0.0008227229118347168
2,10,0.0030030012130737305
2,11,0.013657718896865845
3,0,0.029347538948059082
3,1,0.03599262237548828
3,2,-0.0429764986038208
3,3,0.020096421241760254
3,4,-0.018715858459472656
3,5,0.00804758071899414
3,6,0.003948241472244263
3,7,-0.010728836059570312
3,8,0.038059115409851074
3,9,-0.038526058197021484
3,10,0.01097095012664795
3,11,-0.04090297222137451
4,0,0.2273120880126953
4,1,0.2729988098144531
4,2,0.36034297943115234
4,3,0.18095779418945312
4,4,-0.3976860046386719
4,5,-0.04483985900878906
4,6,0.15615558624267578
4,7,0.5344982147216797
4,8,0.3182868957519531
4,9,0.11726093292236328
4,10,-0.06066131591796875
4,11,0.24656105041503906
5,0,0.1245722770690918
5,1,-0.03693580627441406
5,2,0.1501636505126953
5,3,0.11583518981933594
5,4,0.08282256126403809
5,5,0.07905960083007812
5,6,0.5162515640258789
5,7,0.3359050750732422
5,8,0.03808403015136719
5,9,0.2067241668701172
5,10,0.023871421813964844
5,11,0.0641169548034668
6,0,0.7201614379882812
6,1,0.0813131332397461
6,2,0.8372230529785156
6,3,-0.98748779296875
6,4,0.25141143798828125
6,5,-0.1080322265625
6,6,0.4439239501953125
6,7,1.1665267944335938
6,8,1.5067710876464844
6,9,0.24402618408203125
6,10,0.7772216796875
6,11,0.5915441513061523
7,0,2.0143966674804688
7,1,1.503570556640625
7,2,0.7061080932617188
7,3,0.6166152954101562
7,4,0.183624267578125
7,5,7.745536804199219
7,6,0.6142807006835938
7,7,0.7636070251464844
7,8,-0.22771835327148438
7,9,0.6908245086669922
7,10,0.5345458984375
7,11,0.5321235656738281
8,0,3.7917327880859375
8,1,3.1910247802734375
8,2,0.5636444091796875
8,3,1.4403762817382812
8,4,6.4061431884765625
8,5,1.5470123291015625
8,6,0.5914382934570312
8,7,0.8055572509765625
8,8,1.2449722290039062
8,9,1.6420326232910156
8,10,-0.010528564453125
8,11,1.0780487060546875
9,0,2.3649063110351562
9,1,6.8379364013671875
9,2,1.5727386474609375
9,3,1.0238418579101562
9,4,5.3389434814453125
9,5,2.76812744140625
9,6,4.6827850341796875
9,7,1.79278564453125
9,8,1.0117111206054688
9,9,4.880531311035156
9,10,5.8448333740234375
9,11,7.864990234375
10,0,5.49041748046875
10,1,1.0094680786132812
10,2,4.9552001953125
10,3,2.1030807495117188
10,4,1.5599746704101562
10,5,3.0172653198242188
10,6,1.726715087890625
10,7,4.230339050292969
10,8,1.2819366455078125
10,9,6.086387634277344
10,10,2.4419631958007812
10,11,1.7564773559570312
11,0,4.4474029541015625
11,1,4.48431396484375
11,2,1.5078582763671875
11,3,7.861785888671875
11,4,2.2383575439453125
11,5,6.8778839111328125
11,6,6.745086669921875
11,7,7.3603668212890625
11,8,9.444076538085938
11,9,8.035308837890625
11,10,6.7680206298828125
11,11,6.038536071777344
