layer,head,sq_diff
0,0,6.823029252700508e-09
0,1,6.62339516566135e-10
0,2,2.8126123652327806e-10
0,3,4.0490704122930765e-09
0,4,5.14955900143832e-09
0,5,8.39690983411856e-10
0,6,3.028617356903851e-09
0,7,2.3237589630298316e-09
0,8,2.280103217344731e-09
0,9,7.781636668369174e-09
0,10,1.5015757526271045e-09
0,11,6.358277460094541e-09
0,12,3.743480192497373e-09
0,13,3.0956925911596045e-10
0,14,3.3998048820649274e-10
0,15,1.90857463167049e-09
0,16,2.8994691092520952e-09
0,17,8.24002199806273e-10
0,18,4.94765117764473e-09
0,19,4.401954356580973e-09
0,20,1.828311724239029e-09
0,21,1.5977548173395917e-09
0,22,2.2600943339057267e-09
0,23,1.634361979085952e-09
0,24,2.6861926016863436e-09
0,25,1.48929757415317e-09
0,26,4.46016201749444e-09
0,27,1.4663328329334036e-09
0,28,1.5370460459962487e-09
0,29,5.167748895473778e-09
0,30,5.5315467761829495e-09
0,31,1.1391421139705926e-09
1,0,6.891787052154541e-08
1,1,5.209585651755333e-08
1,2,1.071566657628864e-08
1,3,9.582436177879572e-09
1,4,7.712515071034431e-09
1,5,7.275957614183426e-09
1,6,4.604225978255272e-08
1,7,2.7474015951156616e-08
1,8,1.3598764780908823e-08
1,9,6.305344868451357e-08
1,10,5.721813067793846e-08
1,11,6.788468454033136e-09
1,12,7.583366823382676e-09
1,13,1.6007106751203537e-08
1,14,1.618172973394394e-08
1,15,1.4761462807655334e-07
1,16,8.37608240544796e-08
1,17,8.170900400727987e-08
1,18,2.3769098334014416e-07
1,19,9.592622518539429e-08
1,20,6.577465683221817e-09
1,21,1.1968950275331736e-08
1,22,1.2519012670964003e-07
1,23,8.400820661336184e-08
1,24,1.516309566795826e-07
1,25,9.674113243818283e-08
1,26,2.5262124836444855e-08
1,27,2.329761628061533e-07
1,28,1.0497751645743847e-07
1,29,1.6239937394857407e-08
1,30,1.3838871382176876e-08
1,31,1.0340954759158194e-08
2,0,0.007451236248016357
2,1,0.0012484192848205566
2,2,0.0005486607551574707
2,3,0.0011925697326660156
2,4,0.0005693435668945312
2,5,0.001514434814453125
2,6,0.003383815288543701
2,7,0.0018911361694335938
2,8,0.00022542476654052734
2,9,0.003840923309326172
2,10,0.003334522247314453
2,11,0.0017926692962646484
2,12,0.00042724609375
2,13,0.0015093088150024414
2,14,0.015441417694091797
2,15,0.0013637542724609375
2,16,0.002013564109802246
2,17,0.009664535522460938
2,18,0.00028008222579956055
2,19,0.0050506591796875
2,20,0.0008858442306518555
2,21,0.009854555130004883
2,22,0.03852653503417969
2,23,0.030013084411621094
2,24,0.0028061866760253906
2,25,0.0013418197631835938
2,26,0.0018891394138336182
2,27,0.001678466796875
2,28,0.0005006790161132812
2,29,0.00023698806762695312
2,30,0.000306934118270874
2,31,0.003216981887817383
3,0,0.0142669677734375
3,1,0.0017714500427246094
3,2,0.02480483055114746
3,3,0.015850067138671875
3,4,0.014195442199707031
3,5,0.010318756103515625
3,6,0.004778861999511719
3,7,0.0023533105850219727
3,8,0.053363800048828125
3,9,0.0558013916015625
3,10,0.0046613216400146484
3,11,0.0035715103149414062
3,12,0.014378547668457031
3,13,0.030225753784179688
3,14,0.009771347045898438
3,15,0.01295614242553711
3,16,0.010974884033203125
3,17,0.048553466796875
3,18,0.021825790405273438
3,19,0.0011749267578125
3,20,0.0022497177124023438
3,21,0.043102264404296875
3,22,0.0009145736694335938
3,23,0.003779888153076172
3,24,0.002749919891357422
3,25,0.015886306762695312
3,26,0.005366683006286621
3,27,0.04277801513671875
3,28,0.1411142349243164
3,29,0.1115875244140625
3,30,0.0033283233642578125
3,31,0.20681309700012207
4,0,0.03976869583129883
4,1,0.0156402587890625
4,2,0.08013153076171875
4,3,0.006295204162597656
4,4,0.00290679931640625
4,5,0.0093994140625
4,6,0.03350257873535156
4,7,0.004177570343017578
4,8,0.04534912109375
4,9,0.009365081787109375
4,10,0.0709228515625
4,11,0.00811767578125
4,12,0.012212753295898438
4,13,0.07439422607421875
4,14,0.01064300537109375
4,15,0.032405853271484375
4,16,0.029056549072265625
4,17,0.003021240234375
4,18,0.060932159423828125
4,19,0.0039997100830078125
4,20,0.04859161376953125
4,21,0.03623199462890625
4,22,0.002986907958984375
4,23,0.046733856201171875
4,24,0.050212860107421875
4,25,0.06203269958496094
4,26,0.0051059722900390625
4,27,0.03866767883300781
4,28,0.00475311279296875
4,29,0.00429534912109375
4,30,0.01424407958984375
4,31,0.03378868103027344
5,0,0.10722541809082031
5,1,0.006419181823730469
5,2,0.03449821472167969
5,3,0.006696224212646484
5,4,0.10883331298828125
5,5,0.01287841796875
5,6,0.011249542236328125
5,7,0.048618316650390625
5,8,0.016214370727539062
5,9,0.020905494689941406
5,10,0.004868507385253906
5,11,0.014789581298828125
5,12,0.021148681640625
5,13,0.017578601837158203
5,14,0.0222930908203125
5,15,0.0123138427734375
5,16,0.007648468017578125
5,17,0.017084121704101562
5,18,0.006458282470703125
5,19,0.012744903564453125
5,20,0.05194091796875
5,21,0.009268045425415039
5,22,0.010345458984375
5,23,0.016017913818359375
5,24,0.05216217041015625
5,25,0.06187629699707031
5,26,0.023611068725585938
5,27,0.01633167266845703
5,28,0.017206192016601562
5,29,0.035793304443359375
5,30,0.0061206817626953125
5,31,0.01114654541015625
6,0,0.018271446228027344
6,1,0.081817626953125
6,2,0.009368896484375
6,3,0.018243789672851562
6,4,0.11058807373046875
6,5,0.018405914306640625
6,6,0.455535888671875
6,7,0.008653640747070312
6,8,0.0360870361328125
6,9,0.05669403076171875
6,10,0.015117645263671875
6,11,0.1097726821899414
6,12,0.04770660400390625
6,13,0.10276031494140625
6,14,0.011155128479003906
6,15,0.03418540954589844
6,16,0.16647911071777344
6,17,0.11292076110839844
6,18,0.0616455078125
6,19,0.03647613525390625
6,20,0.053314208984375
6,21,0.009744644165039062
6,22,0.03554534912109375
6,23,0.03555107116699219
6,24,0.0128326416015625
6,25,0.01457977294921875
6,26,0.03551483154296875
6,27,0.01866912841796875
6,28,0.06622695922851562
6,29,0.07791900634765625
6,30,0.25272560119628906
6,31,0.03389739990234375
7,0,0.042537689208984375
7,1,0.0398101806640625
7,2,0.019123077392578125
7,3,0.0328369140625
7,4,0.057376861572265625
7,5,0.017040252685546875
7,6,0.09810256958007812
7,7,0.020697593688964844
7,8,0.10569000244140625
7,9,0.13157939910888672
7,10,0.27548980712890625
7,11,0.045886993408203125
7,12,0.06626701354980469
7,13,0.03440284729003906
7,14,0.08498382568359375
7,15,0.04038238525390625
7,16,0.06817245483398438
7,17,0.1186676025390625
7,18,0.18604278564453125
7,19,0.0281219482421875
7,20,0.052822113037109375
7,21,0.07366943359375
7,22,0.19522857666015625
7,23,0.12680816650390625
7,24,0.04603004455566406
7,25,0.07659530639648438
7,26,0.017333984375
7,27,0.04438018798828125
7,28,0.12612152099609375
7,29,0.07596588134765625
7,30,0.0597991943359375
7,31,0.06327056884765625
8,0,0.0306396484375
8,1,0.06735610961914062
8,2,0.0980987548828125
8,3,0.1753387451171875
8,4,0.25141143798828125
8,5,0.08393096923828125
8,6,0.059253692626953125
8,7,0.016300201416015625
8,8,0.0132293701171875
8,9,0.044803619384765625
8,10,0.021030426025390625
8,11,0.0218505859375
8,12,0.02590179443359375
8,13,0.17104721069335938
8,14,0.0911865234375
8,15,0.017108917236328125
8,16,0.109832763671875
8,17,0.031673431396484375
8,18,0.025604248046875
8,19,0.057098388671875
8,20,0.0496978759765625
8,21,0.04591941833496094
8,22,0.079071044921875
8,23,0.047039031982421875
8,24,0.05535888671875
8,25,0.25220489501953125
8,26,0.21080398559570312
8,27,0.04007720947265625
8,28,0.0319366455078125
8,29,0.02999114990234375
8,30,0.04442596435546875
8,31,0.0689697265625
9,0,0.08191680908203125
9,1,0.24338531494140625
9,2,0.07995223999023438
9,3,0.02724456787109375
9,4,0.14043235778808594
9,5,0.0486297607421875
9,6,0.02925872802734375
9,7,0.06329345703125
9,8,0.27983856201171875
9,9,0.05286407470703125
9,10,0.247650146484375
9,11,0.0597686767578125
9,12,0.0676422119140625
9,13,0.047359466552734375
9,14,0.07558441162109375
9,15,0.0388946533203125
9,16,0.060161590576171875
9,17,0.051422119140625
9,18,0.04866790771484375
9,19,0.02704620361328125
9,20,0.130462646484375
9,21,0.13787841796875
9,22,0.1454620361328125
9,23,0.0834197998046875
9,24,0.051422119140625
9,25,0.163604736328125
9,26,0.24538421630859375
9,27,0.026226043701171875
9,28,0.12506484985351562
9,29,0.056884765625
9,30,0.9919891357421875
9,31,0.2525177001953125
10,0,0.09356689453125
10,1,0.03849220275878906
10,2,0.03266143798828125
10,3,0.055419921875
10,4,0.2200164794921875
10,5,0.0699005126953125
10,6,0.0911865234375
10,7,0.06964874267578125
10,8,0.034770965576171875
10,9,0.11004638671875
10,10,0.117919921875
10,11,0.1815032958984375
10,12,0.08465576171875
10,13,0.0751800537109375
10,14,0.26654052734375
10,15,0.09173583984375
10,16,0.138946533203125
10,17,0.076629638671875
10,18,0.09991455078125
10,19,0.09247589111328125
10,20,0.0650177001953125
10,21,0.260986328125
10,22,0.2118072509765625
10,23,0.11316680908203125
10,24,0.047607421875
10,25,0.0496826171875
10,26,0.2459716796875
10,27,0.091827392578125
10,28,0.17871856689453125
10,29,0.12273406982421875
10,30,0.371978759765625
10,31,0.0794525146484375
11,0,0.1955108642578125
11,1,0.185211181640625
11,2,0.5601654052734375
11,3,0.09430694580078125
11,4,0.123077392578125
11,5,0.184173583984375
11,6,0.040561676025390625
11,7,0.11992645263671875
11,8,0.095306396484375
11,9,0.11881256103515625
11,10,0.05181884765625
11,11,0.420135498046875
11,12,0.0526885986328125
11,13,0.05450439453125
11,14,0.7446136474609375
11,15,2.9651947021484375
11,16,0.3463134765625
11,17,0.23004150390625
11,18,0.230072021484375
11,19,0.2401123046875
11,20,0.058380126953125
11,21,0.12316131591796875
11,22,0.246368408203125
11,23,0.21575927734375
11,24,0.078765869140625
11,25,0.07895660400390625
11,26,0.08570098876953125
11,27,0.09062957763671875
11,28,0.1962890625
11,29,0.03973388671875
11,30,1.0962371826171875
11,31,0.1048583984375
12,0,0.15158843994140625
12,1,0.2804107666015625
12,2,0.49359130859375
12,3,0.102264404296875
12,4,0.233123779296875
12,5,0.1859588623046875
12,6,0.108642578125
12,7,0.101348876953125
12,8,0.06005096435546875
12,9,0.2854156494140625
12,10,0.14154052734375
12,11,0.2828521728515625
12,12,0.2879486083984375
12,13,0.117034912109375
12,14,0.586578369140625
12,15,0.26434326171875
12,16,1.1472320556640625
12,17,0.130706787109375
